"annotation_id","annotator","article_id","chunk_number","chunk_text","created_at","id","lead_time","news_outlet","sentiment","updated_at"
2,"1",7,1,"The case of teenager Shamima Begum has sparked a debate about how to deal with people linked to Islamic State - and how, if at all, to reintegrate them back into British society. When she was tracked down in a Syrian refugee camp, the 19-year-old was described as an ""indoctrinated IS bride"" by the journalist who found her. And in an interview with the BBC, Ms Begum seemed aware of what might await her if she returned - ""a deradicalisation course"". But what might that involve - and does it work?","2026-04-26T12:54:02.535550Z",2,1654.393,"BBC","Neutral","2026-04-26T12:54:02.535550Z"
116,"1",7,2,"Deradicalisation programmes began emerging in the early 2000s, according to the academic-led Centre for Research and Evidence on Security Threats. What makes them different to other strategies is the aim to change a person's ideas and attitudes. In the UK, the government runs Prevent - a system which aims to identify vulnerable people and intervene in their lives before they become terrorists. Last year, 7,318 people were referred to the programme.","2026-04-26T16:03:48.485545Z",3,10.187,"BBC","Neutral","2026-04-26T16:03:48.485545Z"
68,"1",7,3,"Prevent has different strands. The Channel scheme is for individuals who cause such concern that they need concerted help to deradicalise. Another part is the Desistance and Disengagement programme, aimed at rehabilitating people already convicted of terror offences or returning from conflict zones. Last June, the government announced it was planning to double investment in that strand.","2026-04-26T15:35:43.466822Z",4,7.203,"BBC","Neutral","2026-04-26T15:35:43.466822Z"
32,"1",7,4,"The government says it aims to tackle a person's ideology, as well as the personal issues which can drive radicalisation - for example around self-esteem and identity. It can include one-to-one mentoring, support to get a job or education and psychological help. Dr Sarah Marsden, a lecturer in radicalisation at Lancaster University, said the type of mentoring offered depends on the individual. Sessions can be weekly or monthly and can include trained specialists - such as youth workers or imams - who may start by building up trust, she said.","2026-04-26T15:09:44.761073Z",5,17.897,"BBC","Neutral","2026-04-26T15:09:44.761073Z"
130,"1",7,5,"And the conversations depend on the person's original reasons for getting involved in violent extremism. ""In some cases there will be a mentor just working on social issues,"" she said. ""In others they will be specifically talking about ideology - whether it's far-right or Islamist. ""These will be more focused on readings of texts or readings of ideological positions, and discussing them to introduce the individual to alternative ways of interpreting texts and help them to try and understand it's not the only version.""","2026-04-26T16:14:06.016983Z",6,28.796,"BBC","Neutral","2026-04-26T16:14:06.016983Z"
115,"1",7,6,"Dr Marsden, who has spent time with organisations that work with extremists, said there is not enough evidence to say which particular techniques work best. But her research suggested one of the most useful methods was finding out why someone was drawn to violent extremism, and then ""redirecting these motivations"" to create a more positive future. ""Ultimately, change has to come from within,"" she said, ""You have to be motivated to do that, otherwise it's just lip service. ""Motivation can come from the individual by what they have seen or experienced and they do not want to go through it again.","2026-04-26T16:03:36.560861Z",7,41.553,"BBC","Neutral","2026-04-26T16:03:36.560861Z"
149,"1",7,7,"""Or they can be motivated because other people work with them to instil that motivation."" Hanif Qadir, a former adviser to the government and who has worked with extremists in deradicalisation programmes, said Ms Begum was a ""spot on candidate"" for such a programme. He himself was radicalised in 2002 and travelled to Afghanistan to join al-Qaeda, but quickly returned when he saw young children being recruited as suicide bombers. He said Ms Begum's language in interviews - for example talking in the past tense about how she understood IS's ideology - was a ""chink in her armour"" which could be a starting point for discussions.","2026-04-26T16:23:32.458734Z",8,31.065,"BBC","Neutral","2026-04-26T16:23:32.458734Z"
117,"1",7,8,"Deradicalisation is not an exact science and mistakes can be made, for example with the 2017 Parsons Green bomber who had been enrolled in the Prevent programme. It's a ""really complex"" task determining whether someone who claims they've changed their extremist views actually has, said Dr Marsden. ""How do you actually know that somebody isn't just saying that to make their lives a bit easier?"" But she said ""people do change their minds"" and criminal justice professionals ""are very familiar with this"" conundrum.","2026-04-26T16:04:08.757647Z",9,11.95,"BBC","Neutral","2026-04-26T16:04:08.757647Z"
87,"1",7,9,"Judgements about the individual's credibility are made, as well as risk assessments by a range of professionals. ""If [the extremist] doesn't believe in the ideas any more, you can take it as a reduction of risk but it's not a guarantee. Equally, having very strong political opinions doesn't mean they will go out and commit a crime."" Nikita Malik, who heads up the Centre on Radicalisation and Terrorism at the Henry Jackson Society, has carried out research into women who have joined IS and then returned home with their children.","2026-04-26T15:48:11.337646Z",10,22.852,"BBC","Neutral","2026-04-26T15:48:11.337646Z"
54,"1",7,10,"She said: ""Unfortunately, even the deradicalisation programme we have for returnees - which is a Desistance and Disengagement programme - incentivises people in it to lie because the notes are shared with the judges who then determine how often they can see their child."" Hanif Qadir, who is CEO of the Active Change Foundation, recalls working with one young man who had been convicted of terror offences. To test his progress, he asked the man to speak about his experiences to a crowd of other young people. ""When he started to open up [about his extremism] he got very, very emotional.","2026-04-26T15:28:26.704844Z",11,21.198,"BBC","Neutral","2026-04-26T15:28:26.704844Z"
137,"1",7,11,"A couple of young men approached him after the talk and said 'this is exactly what we're feeling.' ""He then mentioned them to me. That was a measure of success as he could have not told me about these guys.""","2026-04-26T16:19:12.793689Z",12,8.812,"BBC","Neutral","2026-04-26T16:19:12.793689Z"
138,"1",22,1,"A British woman who fled to Syria as a schoolgirl to join the Islamic State group could be prevented from returning to the UK, the home secretary has said. ""My message is clear,"" Sajid Javid told the Times : ""If you have supported terrorist organisations abroad I will not hesitate to prevent your return."" He added that if Shamima Begum, 19, did come home she could be prosecuted. Ms Begum, who is pregnant, told the paper she had no regrets but wanted to have her baby in the UK.","2026-04-26T16:19:29.666285Z",13,14.033,"BBC","Neutral","2026-04-26T16:19:29.666285Z"
148,"1",22,2,"""We must remember that those who left Britain to join Daesh were full of hate for our country,"" Mr Javid said. ""If you do manage to return you should be ready to be questioned, investigated and potentially prosecuted."" Mr Javid added that there were a range of measures available to ""stop people who pose a serious threat from returning to the UK, including depriving them of their British citizenship or excluding them from the country"". Security chiefs in London could also control Ms Begum's possible return through a Temporary Exclusion Order.","2026-04-26T16:22:59.931171Z",14,24.632,"BBC","Neutral","2026-04-26T16:22:59.931171Z"
38,"1",22,3,"The controversial legal tool bars a British citizen from returning home until they have agreed to investigation, monitoring and, if required, deradicalisation. However Lord Carlile, a former independent reviewer of terrorism legislation, said Ms Begum would have to be accepted back into the UK if she had not become a national of any other country. Under international law, it is not possible to render a person stateless. Shamima Begum was legally a child when she pinned her colours to the Islamic State mast.","2026-04-26T15:12:08.394246Z",15,21.254,"BBC","Neutral","2026-04-26T15:12:08.394246Z"
